Algorithm,Heuristic,CPUTime,Initial State,Goal State,Optimal sol cost,Level 0 nodes Generated,Level 0 nodes Expanded,Level 0 nodes Evaluated,Level 1 nodes Generated,Level 1 nodes Expanded,Level 1 nodes Evaluated,Level 2 nodes Generated,Level 2 nodes Expanded,Level 2 nodes Evaluated,Level 3 nodes Generated,Level 3 nodes Expanded,Level 3 nodes Evaluated,Level 4 nodes Generated,Level 4 nodes Expanded,Level 4 nodes Evaluated,Level 5 nodes Generated,Level 5 nodes Expanded,Level 5 nodes Evaluated,Level 6 nodes Generated,Level 6 nodes Expanded,Level 6 nodes Evaluated,Level 7 nodes Generated,Level 7 nodes Expanded,Level 7 nodes Evaluated,Level 8 nodes Generated,Level 8 nodes Expanded,Level 8 nodes Evaluated,Level 9 nodes Generated,Level 9 nodes Expanded,Level 9 nodes Evaluated,Level 10 nodes Generated,Level 10 nodes Expanded,Level 10 nodes Evaluated,Total nodes Generated,Total nodes Expanded,Total nodes Evaluated
A#,Man,815.0microseconds,542183076,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,26,9,27,31,11,32,33,12,34,36,12,36,36,12,36
A#,Man-1,239.0microseconds,542183076,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,26,9,27,31,11,32,33,12,34,36,12,36,36,12,36
A#,Misplaced,251.0microseconds,542183076,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,19,7,20,49,18,50,54,20,55,58,21,59,61,22,62,63,23,64,66,23,66,66,23,66
A*,Man,1061.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,14,5,15,21,7,22,26,9,27,40,14,41,63,24,64,69,26,70,73,27,74,76,28,77,76,28,77
A*,Man-1,942.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,14,5,15,21,7,22,26,9,27,40,14,41,63,24,64,69,26,70,73,27,74,76,28,77,76,28,77
A*,Misplaced,2669.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,16,5,17,36,13,37,38,14,39,60,22,61,90,33,91,124,46,125,136,50,137,139,51,140,139,51,140
A#,Man,404.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,14,5,15,21,7,22,26,9,27,40,14,41,63,24,64,69,26,70,73,27,74,76,27,76,76,27,76
A#,Man-1,338.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,14,5,15,21,7,22,26,9,27,40,14,41,63,24,64,69,26,70,73,27,74,76,27,76,76,27,76
A#,Misplaced,457.0microseconds,130465728,123456780,10,0,0,0,2,1,3,8,3,9,16,5,17,36,13,37,38,14,39,60,22,61,90,33,91,124,46,125,136,50,137,139,50,139,139,50,139
A*,Man,586.0microseconds,083215476,123456780,10,0,0,0,2,1,3,5,2,6,11,4,12,20,7,21,24,9,25,27,10,28,29,11,30,32,12,33,36,13,37,39,14,40,39,14,40
