Algorithm,Heuristic,CPUTime,Initial State,Goal State,Optimal sol cost,Level 0 nodes Generated,Level 0 nodes Expanded,Level 0 nodes Evaluated,Level 1 nodes Generated,Level 1 nodes Expanded,Level 1 nodes Evaluated,Level 2 nodes Generated,Level 2 nodes Expanded,Level 2 nodes Evaluated,Level 3 nodes Generated,Level 3 nodes Expanded,Level 3 nodes Evaluated,Level 4 nodes Generated,Level 4 nodes Expanded,Level 4 nodes Evaluated,Level 5 nodes Generated,Level 5 nodes Expanded,Level 5 nodes Evaluated,Level 6 nodes Generated,Level 6 nodes Expanded,Level 6 nodes Evaluated,Level 7 nodes Generated,Level 7 nodes Expanded,Level 7 nodes Evaluated,Level 8 nodes Generated,Level 8 nodes Expanded,Level 8 nodes Evaluated,Level 9 nodes Generated,Level 9 nodes Expanded,Level 9 nodes Evaluated,Level 10 nodes Generated,Level 10 nodes Expanded,Level 10 nodes Evaluated,Total nodes Generated,Total nodes Expanded,Total nodes Evaluated
A*,Man-1,313.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,12,35,34,12,35
A*,Misplaced,2792.0microseconds,283175460,123456780,10,0,0,0,2,1,3,8,3,9,18,6,19,50,18,51,59,22,60,64,24,65,69,26,70,74,28,75,78,29,79,83,31,84,83,31,84
A#,Man,186.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A#,Man-1,214.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A#,Misplaced,351.0microseconds,283175460,123456780,10,0,0,0,2,1,3,8,3,9,18,6,19,50,18,51,59,22,60,64,24,65,69,26,70,74,28,75,78,29,79,83,30,83,83,30,83
A*,Man,442.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Man-1,481.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Misplaced,2223.0microseconds,135742860,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,22,8,23,47,17,48,54,19,55,64,22,65,72,25,73,72,25,73
A#,Man,417.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Man-1,183.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Misplaced,538.0microseconds,135742860,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,22,8,23,47,17,48,54,19,55,64,22,65,72,24,72,72,24,72
A*,Man,475.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,17,48,47,17,48
A*,Man-1,427.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,17,48,47,17,48
A*,Misplaced,2671.0microseconds,713206548,123456780,10,0,0,0,4,1,5,15,5,16,28,11,29,31,12,32,35,13,36,47,17,48,111,41,112,114,42,115,118,43,119,121,44,122,121,44,122
A#,Man,203.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,16,47,47,16,47
A#,Man-1,241.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,16,47,47,16,47
A#,Misplaced,452.0microseconds,713206548,123456780,10,0,0,0,4,1,5,15,5,16,28,11,29,31,12,32,35,13,36,47,17,48,111,41,112,114,42,115,118,43,119,121,43,121,121,43,121
A*,Man,261.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Man-1,267.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Misplaced,521.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,19,7,20,57,21,58,63,23,64,67,24,68,70,25,71,70,25,71
A#,Man,158.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Man-1,146.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Misplaced,251.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,19,7,20,57,21,58,63,23,64,67,24,68,70,24,70,70,24,70
