Algorithm,Heuristic,CPUTime,Initial State,Goal State,Optimal sol cost,Level 0 nodes Generated,Level 0 nodes Expanded,Level 0 nodes Evaluated,Level 1 nodes Generated,Level 1 nodes Expanded,Level 1 nodes Evaluated,Level 2 nodes Generated,Level 2 nodes Expanded,Level 2 nodes Evaluated,Level 3 nodes Generated,Level 3 nodes Expanded,Level 3 nodes Evaluated,Level 4 nodes Generated,Level 4 nodes Expanded,Level 4 nodes Evaluated,Level 5 nodes Generated,Level 5 nodes Expanded,Level 5 nodes Evaluated,Level 6 nodes Generated,Level 6 nodes Expanded,Level 6 nodes Evaluated,Level 7 nodes Generated,Level 7 nodes Expanded,Level 7 nodes Evaluated,Level 8 nodes Generated,Level 8 nodes Expanded,Level 8 nodes Evaluated,Level 9 nodes Generated,Level 9 nodes Expanded,Level 9 nodes Evaluated,Level 10 nodes Generated,Level 10 nodes Expanded,Level 10 nodes Evaluated,Total nodes Generated,Total nodes Expanded,Total nodes Evaluated
A*,Man,435.0microseconds,043716528,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,21,8,22,24,9,25,28,10,29,31,11,32,31,11,32
A#,Man,242.0microseconds,043716528,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,21,8,22,24,9,25,28,10,29,31,10,31,31,10,31
A*,Man,1356.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A#,Man,317.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A*,Man,615.0microseconds,415302786,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,21,8,22,28,10,29,39,14,40,44,16,45,49,18,50,56,20,57,56,20,57
A#,Man,346.0microseconds,415302786,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,21,8,22,28,10,29,39,14,40,44,16,45,49,18,50,56,19,56,56,19,56
A*,Man,477.0microseconds,253108467,123456780,10,0,0,0,4,1,5,13,4,14,17,6,18,23,8,24,29,10,30,32,11,33,34,12,35,37,13,38,39,14,40,42,15,43,42,15,43
A#,Man,244.0microseconds,253108467,123456780,10,0,0,0,4,1,5,13,4,14,17,6,18,23,8,24,29,10,30,32,11,33,34,12,35,37,13,38,39,14,40,42,14,42,42,14,42
A*,Man,474.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,23,8,24,27,10,28,30,11,31,34,12,35,37,13,38,37,13,38
A#,Man,227.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,23,8,24,27,10,28,30,11,31,34,12,35,37,12,37,37,12,37
A*,Man,770.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,20,7,21,27,10,28,34,13,35,41,15,42,48,18,49,51,19,52
A#,Man,421.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,20,7,21,27,10,28,34,13,35,41,15,42,48,17,48,48,17,48
A*,Man,761.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,12,35,34,12,35
A#,Man,504.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A*,Man,561.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,12,35,34,12,35
A#,Man,218.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A*,Man,358.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A#,Man,224.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A*,Man,545.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,17,48,47,17,48
A#,Man,283.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,16,47,47,16,47
A*,Man,399.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A#,Man,228.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
